Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,166.3000030517578,169.66000366210938,165.82000732421875,168.3000030517578,168.3000030517578,2314700
2017-01-04,169.74000549316406,173.25999450683594,168.3000030517578,171.9600067138672,171.9600067138672,2033200
2017-01-05,172.64999389648438,177.83999633789062,172.5,177.47000122070312,177.47000122070312,2733000
2017-01-06,176.27999877929688,177.27999877929688,173.25,176.3800048828125,176.3800048828125,2254700
2017-01-09,178.0,179.72000122070312,176.82000732421875,177.16000366210938,177.16000366210938,1760400
2017-01-10,179.8300018310547,183.0,178.3000030517578,180.30999755859375,180.30999755859375,2922300
2017-01-11,179.57000732421875,180.17999267578125,176.8000030517578,179.32000732421875,179.32000732421875,1929900
2017-01-12,178.8000030517578,179.47000122070312,175.66000366210938,177.57000732421875,177.57000732421875,2680100
2017-01-13,178.0,178.7100067138672,176.36000061035156,176.47999572753906,176.47999572753906,1411900
2017-01-17,175.5800018310547,178.27999877929688,174.49000549316406,176.9600067138672,176.9600067138672,2073200
2017-01-18,178.58999633789062,180.77999877929688,174.72999572753906,176.5399932861328,176.5399932861328,2005000
2017-01-19,176.83999633789062,176.83999633789062,174.42999267578125,176.08999633789062,176.08999633789062,1430500
2017-01-20,175.3000030517578,176.4600067138672,173.1300048828125,173.44000244140625,173.44000244140625,2048400
2017-01-23,173.94000244140625,176.17999267578125,173.27999877929688,175.97000122070312,175.97000122070312,2100600
2017-01-24,177.6999969482422,179.0,175.5,176.0500030517578,176.0500030517578,1600400
2017-01-25,177.39999389648438,179.0,176.25,176.61000061035156,176.61000061035156,2122000
2017-01-26,177.64999389648438,177.6699981689453,174.64999389648438,174.9499969482422,174.9499969482422,2194200
2017-01-27,175.0,175.0,173.22000122070312,174.10000610351562,174.10000610351562,1575700
2017-01-30,173.16000366210938,174.97000122070312,171.72000122070312,174.72000122070312,174.72000122070312,1358900
2017-01-31,173.67999267578125,176.17999267578125,173.00999450683594,175.07000732421875,175.07000732421875,1325800
2017-02-01,176.72999572753906,176.72999572753906,172.5500030517578,173.82000732421875,173.82000732421875,1216400
2017-02-02,173.50999450683594,175.17999267578125,172.4600067138672,173.39999389648438,173.39999389648438,962600
2017-02-03,174.9600067138672,176.58999633789062,173.55999755859375,175.1699981689453,175.1699981689453,1578100
2017-02-06,175.7899932861328,179.0800018310547,175.14999389648438,177.80999755859375,177.80999755859375,2320900
2017-02-07,179.5800018310547,179.60000610351562,176.75,178.1699981689453,178.1699981689453,1535200
2017-02-08,179.16000366210938,182.41000366210938,177.52999877929688,181.5,181.5,2114200
2017-02-09,181.22999572753906,183.4600067138672,181.05999755859375,181.5,181.5,1743700
2017-02-10,182.5800018310547,184.16000366210938,181.2100067138672,183.99000549316406,183.99000549316406,2149800
2017-02-13,184.5,185.44000244140625,183.3300018310547,184.30999755859375,184.30999755859375,2428500
